Machine,Treatment,Cycle_Speed,Shrink_pct
1,1,200,8
1,1,400,18.5
1,1,600,29
1,1,800,34.3
1,1,1000,37.5
1,1,1200,40.2
1,1,1400,43.2
1,2,200,10.8
1,2,400,13.2
1,2,600,21
1,2,800,26
1,2,1000,33.1
1,2,1200,35.3
1,2,1400,37.7
1,3,200,7.9
1,3,400,12.5
1,3,600,17.5
1,3,800,21.3
1,3,1000,26
1,3,1200,28
1,3,1400,31.5
1,4,200,4
1,4,400,9.9
1,4,600,15
1,4,800,19.5
1,4,1000,24.7
1,4,1200,26.6
1,4,1400,29.3
2,1,200,11.3
2,1,400,24.3
2,1,600,31.3
2,1,800,38.8
2,1,1000,41.5
2,1,1200,45.9
2,1,1400,47.9
2,2,200,6.1
2,2,400,12.9
2,2,600,18.7
2,2,800,25.3
2,2,1000,27.5
2,2,1200,32
2,2,1400,36.5
2,3,200,6
2,3,400,13
2,3,600,19.8
2,3,800,24.8
2,3,1000,29
2,3,1200,34.3
2,3,1400,38.2
2,4,200,3.5
2,4,400,8.6
2,4,600,15.2
2,4,800,20
2,4,1000,23
2,4,1200,27
2,4,1400,31.2
3,1,200,7.5
3,1,400,19.7
3,1,600,28
3,1,800,33.8
3,1,1000,37.4
3,1,1200,43
3,1,1400,46.5
3,2,200,7
3,2,400,14.4
3,2,600,18.8
3,2,800,23.8
3,2,1000,28.5
3,2,1200,32.4
3,2,1400,38.2
3,3,200,4.8
3,3,400,10.2
3,3,600,16.8
3,3,800,22
3,3,1000,24.7
3,3,1200,30.6
3,3,1400,33.7
3,4,200,3.2
3,4,400,7.5
3,4,600,11.8
3,4,800,15.8
3,4,1000,20
3,4,1200,22.5
3,4,1400,26.8
4,1,200,9.4
4,1,400,19.1
4,1,600,26.1
4,1,800,34.3
4,1,1000,37.5
4,1,1200,40.6
4,1,1400,41.8
4,2,200,5.1
4,2,400,12
4,2,600,16.7
4,2,800,23.7
4,2,1000,27.7
4,2,1200,33.5
4,2,1400,37.8
4,3,200,4.7
4,3,400,10.9
4,3,600,14.8
4,3,800,21.4
4,3,1000,25.2
4,3,1200,30
4,3,1400,33.5
4,4,200,3.9
4,4,400,8.1
4,4,600,12.4
4,4,800,17.3
4,4,1000,20
4,4,1200,23.5
4,4,1400,27
