ID,Date,Species,Sex,Age,Capture_Type,Plot,Night,Azimut,Station,Trap,Weight_g,Body_Length_mm,Tail_Length_mm,Hind_Foot_Length_mm
2017-001,6/13/2017,S. cinereus,U,J,D,8,1,60,2,Pitfall,3.4,83.8,40.3,10.4
2017-002,6/13/2017,S. cinereus,U,J,D,8,1,60,2,Pitfall,3.2,87.5,36.7,9.8
2017-003,6/13/2017,M. rutilus,F,J,L,8,1,60,3,Sherman,22,114,27,17
2017-004,6/13/2017,S. cinereus,U,J,D,8,1,60,6,Victor,3.4,91.8,38.4,10.6
2017-005,6/13/2017,S. cinereus,U,J,D,8,1,60,7,Sherman,3.1,86.3,39.7,9.4
2017-006,6/13/2017,S. cinereus,M,A,D,8,1,180,10,Pitfall,5.9,92.1,40.5,10.6
2017-007,6/13/2017,M. rutilus,M,A,D,8,1,300,9,Victor,20,105.6,23,14
2017-009,6/14/2017,M. rutilus,F,A,D,8,2,180,8,Victor,28.2,125.5,26.2,16.5
2017-010,6/14/2017,S. cinereus,U,J,D,8,2,300,7,Pitfall,3.1,87,39.5,9.7
2017-011,6/14/2017,S. cinereus,M,A,D,8,2,300,10,Pitfall,5.2,91.7,39.4,10
2017-012,6/15/2017,S. cinereus,U,J,D,8,3,60,3,Pitfall,2.6,91,39.4,9.8
2017-013,6/15/2017,S. cinereus,U,J,D,8,3,60,4,Victor,3.4,90.5,40.4,11
2017-014,6/15/2017,S. cinereus,U,J,D,8,3,180,5,Pitfall,3.2,84.8,37.8,10.9
2017-015,6/15/2017,S. cinereus,U,J,D,8,3,180,9,Pitfall,3,92.4,42.5,10.3
2017-017,6/15/2017,S. cinereus,U,J,D,8,3,300,9,Sherman,2.7,87.7,36.1,10.6
2017-018,6/15/2017,S. cinereus,U,J,D,8,3,300,9,Victor,3.5,91.2,41.5,10
2017-020,6/13/2017,S. cinereus,U,J,D,9,1,60,1,Pitfall,3.5,88.7,42.6,10.2
2017-021,6/13/2017,S. cinereus,U,J,D,9,1,60,3,Pitfall,3.9,86.1,38,11.5
2017-022,6/13/2017,M. rutilus,M,A,D,9,1,60,5,Victor,17.1,100.5,23.8,14.2
2017-023,6/13/2017,M. rutilus,M,J,L,9,1,60,7,Sherman,16,99,15,24
2017-024,6/13/2017,M. rutilus,F,A,D,9,1,60,10,Victor,12.9,95,23.6,15.4
2017-025,6/13/2017,M. rutilus,F,A,L,9,1,60,10,Sherman,27,119,31,16
2017-026,6/13/2017,M. rutilus,F,A,L,9,1,180,1,Sherman,36,111,30,17
2017-027,6/13/2017,S. cinereus,F,A,D,9,1,180,3,Pitfall,5.5,93.7,38.9,10.8
2017-028,6/13/2017,S. cinereus,U,J,D,9,1,180,4,Pitfall,3.4,88,41.7,10.8
2017-029,6/13/2017,S. cinereus,U,J,D,9,1,180,9,Pitfall,3.3,88.9,42,11.1
2017-030,6/13/2017,S. cinereus,U,J,D,9,1,180,9,Pitfall,3.4,83,36,11.3
2017-031,6/13/2017,S. cinereus,U,J,D,9,1,180,9,Pitfall,3.6,83.5,38.2,10.4
2017-032,6/13/2017,M. rutilus,M,A,D,9,1,180,9,Sherman,14.6,94.3,27.1,15.5
2017-033,6/13/2017,S. cinereus,U,J,D,9,1,180,9,Victor,3.4,88.1,38.9,11.1
2017-034,6/13/2017,S. cinereus,F,A,D,9,1,180,10,Victor,5.8,97.4,37.2,10.5
2017-038,6/13/2017,S. cinereus,U,J,D,9,1,300,4,Pitfall,3.4,88.1,41.4,10.4
2017-039,6/13/2017,M. rutilus,M,A,L,9,1,300,5,Sherman,29,121,31,17
2017-040,6/13/2017,S. cinereus,U,J,D,9,1,300,7,Victor,4,94.3,37.3,10.9
2017-041,6/13/2017,M. rutilus,F,J,L,9,1,300,7,Sherman,20,102,28,17
2017-042,6/13/2017,S. cinereus,U,J,D,9,1,300,8,Pitfall,3.6,82.4,38,10.4
2017-043,6/13/2017,S. cinereus,U,J,D,9,1,300,9,Victor,4,91.7,34.8,10.1
2017-870,6/13/2017,M. rutilus,M,J,L,9,1,300,10,Sherman,11,99,26,16
2017-044,6/14/2017,S. cinereus,U,J,D,9,2,60,1,Pitfall,4,93.4,41.3,10.6
2017-045,6/14/2017,S. cinereus,U,J,D,9,2,60,1,Pitfall,3.9,85.6,39.8,10.8
2017-046,6/14/2017,S. cinereus,U,J,D,9,2,60,1,Pitfall,4.1,84.6,35.7,10.4
2017-047,6/14/2017,S. cinereus,U,J,D,9,2,60,1,Pitfall,3.2,82.2,37.6,10.8
2017-048,6/14/2017,S. cinereus,U,J,D,9,2,60,1,Pitfall,4.1,86.3,40.5,10.6
2017-049,6/14/2017,S. cinereus,U,J,D,9,2,60,1,Pitfall,4.1,86.5,37.7,10.5
2017-050,6/14/2017,S. cinereus,F,A,D,9,2,60,2,Pitfall,5.6,89.2,40.6,10
2017-051,6/14/2017,S. cinereus,U,J,D,9,2,60,3,Pitfall,3.7,92.5,42.6,10
2017-052,6/14/2017,M. rutilus,F,J,L,9,2,60,5,Sherman,13,79,22,16
2017-053,6/14/2017,S. cinereus,U,J,D,9,2,60,5,Pitfall,3.4,81.8,38.8,10.4
2017-054,6/14/2017,S. cinereus,U,U,D,9,2,60,5,Pitfall,5.9,91.2,38.7,9.9
2017-055,6/14/2017,M. rutilus,M,SA,D,9,2,60,7,Victor,15,98.2,23.8,16.6
2017-056,6/14/2017,M. rutilus,M,A,L,9,2,60,7,Sherman,15,103,23,15
2017-057,6/14/2017,S. cinereus,M,A,D,9,2,60,7,Pitfall,6.3,94.7,40.2,10.7
2017-058,6/14/2017,S. cinereus,M,A,D,9,2,60,7,Pitfall,6,95.7,39.6,10.9
2017-059,6/14/2017,S. cinereus,M,A,D,9,2,60,7,Pitfall,6.3,91.2,39.7,11
2017-060,6/14/2017,S. cinereus,F,A,D,9,2,60,7,Pitfall,6.4,89.4,38.6,11.8
2017-061,6/14/2017,S. cinereus,U,J,D,9,2,60,8,Victor,3.4,77.2,34.2,10.8
2017-062,6/14/2017,M. rutilus,M,A,L,9,2,60,8,Sherman,32,102,28,17
2017-063,6/14/2017,S. monticolus,U,J,D,9,2,60,8,Pitfall,3.3,81.4,38.8,10.7
2017-064,6/14/2017,S. cinereus,F,A,D,9,2,60,9,Sherman,8.9,94,35.2,10.9
2017-065,6/14/2017,S. cinereus,U,J,D,9,2,60,10,Victor,3.9,83.3,36.7,10.5
2017-066,6/14/2017,M. rutilus,F,A,L,9,2,60,10,Sherman,25,107,32,16
